Mineral,(Mg+Fe)/Al,(Mg+Fe)/Si,(Ca+Na)/Al,K/(K+Na+Ca),K/(Al+Si),Al/Si,Fe/Si,Ca/Si,K/Si,K/Al,Ca/Na,P/Ca,Ti/Fe,Mg/Al,|Na|,|Mg|,|Al|,|Si|,|P|,|K|,|Ca|,|Ti|,|Fe|
Ap,1.989361702,0.051643192,5280.425532,0,0,0.02595968,0.051643192,136.8627451,0,0,635.3589744,0.776262157,4.978609626,0,0.000880468,0,0.000106108,0.004087401,0.434251089,0,0.559412931,0.001050917,0.000211086
Ap,0.279673591,0.123687664,202.1936202,0,0,0.442257218,0.054790026,88.59580052,0,0,107.2864521,0.811287217,5.113772455,0.15578635,0.005061698,0.000422311,0.002710834,0.006129541,0.440570803,0,0.543051578,0.001717398,0.000335838
Ap,2.5,0.001676727,261510,0,0,0.000670691,0.001676727,175.2515091,0,0,1244.285714,0.76528894,176.2,0,0.000453158,0,2.15789E-06,0.003217419,0.43151387,0,0.56385745,0.000950552,5.39473E-06
Ap,65535,0.011669024,65535,0,0,0,0.011669024,197.135785,0,,65535,0.776789238,32.54545455,,0,0,0,0.002843654,0.435457192,0,0.560586026,0.001079945,3.31827E-05
Ap,4.939393939,0.215513442,4439.393939,0.001522139,0.282939189,0.043631556,0.215513442,193.6976642,0.295284266,6.767676768,65535,0.647372014,3.942740286,0,0,0,0.000135714,0.003110456,0.390033929,0.000918469,0.602488091,0.002642997,0.000670345
Ap,65535,0.002968827,65535,0,0,0,0.002968827,257.3280554,0,,748.2877698,0.780025382,192.1666667,,0.000747637,0,0,0.002174065,0.436383586,0,0.559447932,0.001240325,6.45442E-06
Ap,65535,0.002862986,65535,0,0,0,0.002862986,216.1022495,0,,4261.048387,0.768154891,146.1428571,,0.000132219,0,0,0.002607057,0.43277151,0,0.563390945,0.001090806,7.46397E-06
Ap,0,0,3330.28655,0,0,0.070081967,0,232.897541,0,0,470.0330852,0.801062875,65535,0,0.001175481,0,0.000166259,0.002372352,0.442599281,0,0.552515034,0.001171592,0
Ap,0,0,8773.560606,0,0,0.023198594,0,203.3286467,0,0,988.8376068,0.792193199,65535,0,0.000561837,0,6.33867E-05,0.002732351,0.440114941,0,0.55556516,0.000962325,0
Ap,0.05450237,0.014631043,422.7804107,0.000408995,0.036609829,0.268447837,0.006149279,113.182782,0.046437659,0.172985782,363.1088435,0.78117916,30.93103448,0.031595577,0.001532244,4.16937E-05,0.001319606,0.00491569,0.434625804,0.000228273,0.556371479,0.000934982,3.0228E-05
