Mineral,(Mg+Fe)/Al,(Mg+Fe)/Si,(Ca+Na)/Al,K/(K+Na+Ca),K/(Al+Si),Al/Si,Fe/Si,Ca/Si,K/Si,K/Al,Ca/Na,P/Ca,Ti/Fe,Mg/Al,|Na|,|Mg|,|Al|,|Si|,|P|,|K|,|Ca|,|Ti|,|Fe|
Apatite,0.35518635,0.17699709,77.71935339,0.00068130,0.01762246,0.49832177,0.01901992,38.34638622,0.02640412,0.05298608,100.15780250,0.78555173,6.52941177,0.31701841,0.00541694,0.00223516,0.00705057,0.01414863,0.42620013,0.00037358,0.54254878,0.00175710,0.00026911
Apatite,1.43220339,3.01785714,816.62711860,0.01756640,9.90229885,2.10714286,3.01785714,1720.75000000,30.76785714,14.60169492,65535.00000000,0.28404350,1.17159763,0.00000000,0.00000000,0.00000000,0.00093653,0.00044446,0.21723533,0.01367493,0.76479599,0.00157147,0.00134130
Apatite,65535.00000000,0.00651112,65535.00000000,0.00000185,0.00054259,0.00000000,0.00651112,292.59902330,0.00054259,65535.00000000,65535.00000000,0.73888291,69.83333333,,0.00000000,0.00000000,0.00000000,0.00195980,0.42370088,0.00000106,0.57343440,0.00089111,0.00001276
Apatite,65535.00000000,0.07527473,65535.00000000,0.00000000,0.00000000,0.00000000,0.07472528,276.81868130,0.00000000,,91.28646494,0.81568448,11.54411765,65535.00000000,0.00597420,0.00000108,0.00000000,0.00197011,0.44484448,0.00000000,0.54536342,0.00169949,0.00014722
Apatite,65535.00000000,65535.00000000,65535.00000000,0.00469244,65535.00000000,,65535.00000000,65535.00000000,65535.00000000,65535.00000000,65535.00000000,0.22094923,1.27424749,,0.00000000,0.00000000,0.00000000,0.00000000,0.17987532,0.00383814,0.81410250,0.00122371,0.00096034
Apatite,65535.00000000,0.00925498,65535.00000000,0.00000000,0.00000000,0.00000000,0.00925498,250.50439610,0.00000000,,2506.20370400,0.76170244,48.25000000,,0.00022570,0.00000000,0.00000000,0.00225800,0.43084839,0.00000000,0.56563871,0.00100832,0.00002090
Apatite,65535.00000000,0.02693878,65535.00000000,0.00148163,0.50857143,0.00000000,0.02693878,342.74285710,0.50857143,65535.00000000,65535.00000000,0.61437146,22.90909091,,0.00000000,0.00000000,0.00000000,0.00180029,0.37908904,0.00091558,0.61703557,0.00111103,0.00004850
Apatite,65535.00000000,0.05612245,65535.00000000,0.00064332,1.39795918,0.00000000,0.05612245,2171.63265300,1.39795918,65535.00000000,65535.00000000,0.53183441,69.63636364,,0.00000000,0.00000000,0.00000000,0.00030004,0.34652518,0.00041944,0.65156592,0.00117259,0.00001684
Apatite,0.69597070,0.05643006,1385.78022000,0.00000000,0.00000000,0.08108108,0.05643006,112.31957230,0.00000000,0.00000000,2740.43478300,0.75226083,5.16842105,0.00000000,0.00020670,0.00000000,0.00040892,0.00504329,0.42612564,0.00000000,0.56645996,0.00147090,0.00028459
Apatite,65535.00000000,0.04909345,65535.00000000,0.00002330,0.00306834,0.00000000,0.04909345,131.67364020,0.00306834,65535.00000000,4104.78260900,0.69903612,6.01704546,,0.00014251,0.00000000,0.00000000,0.00444251,0.40890931,0.00001363,0.58496164,0.00131231,0.00021810
Apatite,65535.00000000,3.41379310,65535.00000000,0.00328936,29.20689655,0.00000000,3.41379310,8850.00000000,29.20689655,65535.00000000,65535.00000000,0.50863043,6.02020202,,0.00000000,0.00000000,0.00000000,0.00007460,0.33578471,0.00217872,0.66017425,0.00153308,0.00025466
Apatite,0.27826087,0.03325712,782.32173910,0.00000000,0.00000000,0.11951777,0.03325712,93.18229058,0.00000000,0.00000000,292.05211730,0.78799911,6.32500000,0.00000000,0.00189587,0.00000000,0.00071018,0.00594205,0.43631037,0.00000000,0.55369399,0.00124992,0.00019762
Apatite,0.00000000,0.00000000,7839.87142900,0.00000000,0.00000000,0.03094607,0.00000000,241.18921310,0.00000000,0.00000000,169.37907480,0.82152611,65535.00000000,0.00000000,0.00321900,0.00000000,0.00006996,0.00226060,0.44792184,0.00000000,0.54523141,0.00129719,0.00000000
Apatite,9.96969697,0.15126437,15041.66667000,0.00000000,0.00000000,0.01517241,0.15126437,227.55862070,0.00000000,0.00000000,344.90592330,0.79874328,3.50455927,0.00000000,0.00160265,0.00000000,0.00003686,0.00242910,0.44151464,0.00000000,0.55276163,0.00128770,0.00036744
Apatite,0.00000000,0.00000000,3551.48407600,0.00008787,0.01715686,0.05816969,0.00000000,206.58762500,0.01815487,0.31210191,185860.00000000,0.76995229,65535.00000000,0.00000000,0.00000303,0.00000000,0.00015851,0.00272497,0.43344113,0.00004947,0.56294543,0.00067746,0.00000000
Apatite,1.98936170,0.05164319,5280.42553200,0.00000000,0.00000000,0.02595968,0.05164319,136.86274510,0.00000000,0.00000000,635.35897440,0.77626216,4.97860963,0.00000000,0.00088047,0.00000000,0.00010611,0.00408740,0.43425109,0.00000000,0.55941293,0.00105092,0.00021109
